Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-16 00:00:00+05:30,2078.8464159158057,2138.0381666902636,2053.8920727305167,2102.053955078125,1742552,0.0,0.0
2022-05-17 00:00:00+05:30,2129.1544178932795,2188.246251038926,2115.5292009378386,2180.85986328125,1061085,0.0,0.0
2022-05-18 00:00:00+05:30,2195.682583350067,2212.8511218147964,2168.033221301697,2177.11669921875,1296983,0.0,0.0
2022-05-19 00:00:00+05:30,2141.0822001483257,2150.8143919671816,2093.76887278377,2110.887451171875,986930,0.0,0.0
2022-05-20 00:00:00+05:30,2155.0566381378544,2228.322477315515,2147.0712499465144,2215.49609375,1444803,0.0,0.0
2022-05-23 00:00:00+05:30,2227.6740546769747,2240.8998556065008,2151.7129420491215,2166.685546875,1455450,0.0,0.0
2022-05-24 00:00:00+05:30,2157.0532263192235,2174.92043691681,2138.6369714831635,2156.254638671875,1008943,0.0,0.0
2022-05-25 00:00:00+05:30,2164.0402574567565,2177.46564297187,2062.426141278193,2070.361572265625,1382448,0.0,0.0
2022-05-26 00:00:00+05:30,2073.2066872149303,2084.1865974505417,1902.7185777266757,2042.66259765625,4967514,0.0,0.0
2022-05-27 00:00:00+05:30,2076.2012015078353,2090.4751335071496,2043.9601437262415,2076.350830078125,1354005,0.0,0.0
2022-05-30 00:00:00+05:30,2116.1280522793413,2171.027600805456,2098.160927307158,2161.694580078125,1384584,0.0,0.0
2022-05-31 00:00:00+05:30,2156.055048919921,2221.734922760225,2146.4724845579385,2163.59130859375,2861556,0.0,0.0
2022-06-01 00:00:00+05:30,2165.986937108862,2185.301695374408,2122.1172524309072,2146.9716796875,1448212,0.0,0.0
2022-06-02 00:00:00+05:30,2151.064197473022,2213.9491368887066,2138.3874409646805,2205.36474609375,1855167,0.0,0.0
2022-06-03 00:00:00+05:30,2230.9180573763915,2238.154816175487,2172.075770776484,2186.000244140625,1651685,0.0,0.0
2022-06-06 00:00:00+05:30,2184.5027923573084,2225.9269942685846,2164.2398207557417,2220.986083984375,1664487,0.0,0.0
2022-06-07 00:00:00+05:30,2205.963693734522,2250.582005678804,2203.019130303099,2223.481689453125,2046676,0.0,0.0
2022-06-08 00:00:00+05:30,2240.8498979351853,2240.8498979351853,2154.607791625627,2173.2236328125,1530739,0.0,0.0
2022-06-09 00:00:00+05:30,2156.3546406279397,2219.9382550391683,2151.0642714071078,2215.14697265625,1440385,0.0,0.0
2022-06-10 00:00:00+05:30,2186.000486707629,2210.9548301631958,2167.0351856813986,2199.07666015625,1305761,0.0,0.0
2022-06-13 00:00:00+05:30,2168.5322667096784,2168.5322667096784,2062.9754026339365,2075.95166015625,1764172,0.0,0.0
2022-06-14 00:00:00+05:30,2269.847145034618,2269.847145034618,2049.350657491352,2192.438720703125,6515102,0.0,0.0
2022-06-15 00:00:00+05:30,2214.3484274975085,2215.646102039951,2170.2291989177093,2180.6103515625,1313510,0.0,0.0
2022-06-16 00:00:00+05:30,2200.972991225471,2213.2505763780596,2072.258542359648,2079.19580078125,2131789,0.0,0.0
2022-06-17 00:00:00+05:30,2058.234093553688,2133.4962902823618,2056.3873747988396,2091.972412109375,2280135,0.0,0.0
2022-06-20 00:00:00+05:30,2103.4515783315155,2119.4223582268705,2021.3018305058324,2076.0517578125,2603594,0.0,0.0
2022-06-21 00:00:00+05:30,2096.1646274371005,2173.023997109794,2087.829780131064,2157.851806640625,1331500,0.0,0.0
2022-06-22 00:00:00+05:30,2146.023324734868,2146.023324734868,2073.3065227633456,2085.38427734375,1774137,0.0,0.0
2022-06-23 00:00:00+05:30,2101.155523129701,2124.1135169691233,2076.2011819998947,2106.495849609375,1026783,0.0,0.0
