timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-01 00:00:00+05:30,174.7521801895048,185.3488492722585,173.96207157374022,180.28289794921875,17324578,0.0,0.0
2020-06-02 00:00:00+05:30,181.25891565157136,183.8151311287089,176.93659333637555,178.6097412109375,14155546,0.0,0.0
2020-06-03 00:00:00+05:30,181.25891544453162,183.86161040044445,178.05202977722226,179.12098693847656,11567639,0.0,0.0
2020-06-04 00:00:00+05:30,179.39986991882324,181.44483969258727,176.42536714029848,178.4703369140625,10238285,0.0,0.0
2020-06-05 00:00:00+05:30,182.14196737376756,188.1374516912179,180.37586055216232,183.16445922851562,26006736,0.0,0.0
2020-06-08 00:00:00+05:30,187.76562671827702,187.76562671827702,178.70268186430079,181.21241760253906,13522911,0.0,0.0
2020-06-09 00:00:00+05:30,182.1419842598388,184.88410370909418,175.30992537951255,176.65774536132812,8055268,0.0,0.0
2020-06-10 00:00:00+05:30,174.75220421382315,178.37737724483964,171.54531819660886,177.49432373046875,11823033,0.0,0.0
2020-06-11 00:00:00+05:30,174.7521855230819,177.40135996639825,170.61576694714375,171.63824462890625,6481994,0.0,0.0
2020-06-12 00:00:00+05:30,164.52732332732538,176.7971547726539,163.08654449537678,175.63523864746094,9000558,0.0,0.0
2020-06-15 00:00:00+05:30,172.84663575378556,173.31140219258765,167.26943848816057,170.80166625976562,12059372,0.0,0.0
2020-06-16 00:00:00+05:30,175.68173289741077,182.1419842598388,172.66075071795794,176.65774536132812,23464025,0.0,0.0
2020-06-17 00:00:00+05:30,175.44932926946632,180.74766379347741,172.70721013878517,178.3308868408203,11912711,0.0,0.0
2020-06-18 00:00:00+05:30,175.68171324805348,180.37585710012073,174.75218037372517,179.7716522216797,8868746,0.0,0.0
2020-06-19 00:00:00+05:30,181.351859686939,183.44330854152855,179.12097239858298,180.6082305908203,18204886,0.0,0.0
2020-06-22 00:00:00+05:30,181.16595937158186,185.81362394431147,179.39985250736328,184.00103759765625,11091702,0.0,0.0
2020-06-23 00:00:00+05:30,184.14047709850718,189.53175668688183,184.14047709850718,187.4403076171875,14850064,0.0,0.0
2020-06-24 00:00:00+05:30,192.36682659300237,193.11045573337805,178.79565506121756,180.23641967773438,19739136,0.0,0.0
2020-06-25 00:00:00+05:30,178.60974767659684,183.44333028245126,177.54079047542538,179.91110229492188,9502767,0.0,0.0
2020-06-26 00:00:00+05:30,181.8631228813878,183.58276457743094,178.0520461521875,179.07452392578125,6960491,0.0,0.0
2020-06-29 00:00:00+05:30,178.9350791324654,179.3533660911308,172.56777324056702,177.2619171142578,7560301,0.0,0.0
2020-06-30 00:00:00+05:30,177.6801819278878,181.81661406899903,174.56625568277312,176.0070343017578,11450934,0.0,0.0
2020-07-01 00:00:00+05:30,176.8901187357621,179.44633428343627,175.2634361145149,177.95907592773438,8343254,0.0,0.0
2020-07-02 00:00:00+05:30,178.7956548703604,181.2589113252076,176.65772641289234,180.74766540527344,9164240,0.0,0.0
2020-07-03 00:00:00+05:30,181.9096054858712,182.65323472349067,177.07603671666655,177.49432373046875,6610649,0.0,0.0
2020-07-06 00:00:00+05:30,180.50029520528932,183.41235367313507,178.95033738659274,182.0032958984375,10803795,2.0,0.0
2020-07-07 00:00:00+05:30,184.80334260375218,184.85080398664934,180.57954022315806,181.1490478515625,6564431,2.0,0.0
2020-07-08 00:00:00+05:30,181.29140943090772,191.73227594263537,181.29140943090772,185.42030334472656,22609621,0.0,0.0
2020-07-09 00:00:00+05:30,186.36948095428937,192.4441613898458,186.13218852347575,187.41355895996094,14801828,0.0,0.0
2020-07-10 00:00:00+05:30,186.0372578101436,186.0372578101436,181.2914093966195,183.47450256347656,10893405,0.0,0.0
2020-07-13 00:00:00+05:30,185.46773772554985,189.64409273829662,185.32536807599737,188.31524658203125,11050735,0.0,0.0
2020-07-14 00:00:00+05:30,187.9356035863383,188.3152656790991,181.9083701022921,184.18638610839844,7233291,0.0,0.0
2020-07-15 00:00:00+05:30,186.0372718442999,189.6915811916568,183.5694246898276,184.99317932128906,9389574,0.0,0.0
