timestamp,Close,High,Low,Open,Volume,Dividends,Stock Splits
2020-06-01 00:00:00+05:30,2116.689697265625,2180.8998876857277,1956.2371623386723,1956.2371623386723,18915983,0.0,0.0
2020-06-02 00:00:00+05:30,2298.251708984375,2326.463184057082,2116.68976777407,2120.9997512756195,23442470,0.0,0.0
2020-06-03 00:00:00+05:30,2362.608642578125,2445.8227367612953,2348.992808282339,2367.6045111002554,18705176,0.0,0.0
2020-06-04 00:00:00+05:30,2265.779296875,2403.5057751242534,2230.27012163976,2364.6661798033047,16315350,0.0,0.0
2020-06-05 00:00:00+05:30,2341.49951171875,2359.768273802727,2228.506775799586,2296.0966516370245,15850039,0.0,0.0
2020-06-08 00:00:00+05:30,2456.010498046875,2495.633792382744,2424.9583840312407,2453.806480250243,14992503,0.0,0.0
2020-06-09 00:00:00+05:30,2393.660888671875,2483.1928753821817,2365.9392004576866,2483.1928753821817,12373077,0.0,0.0
2020-06-10 00:00:00+05:30,2385.87353515625,2419.521634108902,2351.931758500192,2390.1347316703323,8961443,0.0,0.0
2020-06-11 00:00:00+05:30,2291.100341796875,2408.745981319259,2272.6847444033806,2360.7473830741824,10042767,0.0,0.0
2020-06-12 00:00:00+05:30,2400.076904296875,2419.5213313040676,2154.0596791650382,2155.039242457064,16802457,0.0,0.0
2020-06-15 00:00:00+05:30,2303.344970703125,2380.289713167564,2283.361975713852,2370.543106489714,12070346,0.0,0.0
2020-06-16 00:00:00+05:30,2316.667236328125,2405.219664204247,2238.3021712514865,2401.8892445989695,12914351,0.0,0.0
2020-06-17 00:00:00+05:30,2347.03369140625,2375.441027404072,2284.390665544741,2299.0350892030337,9650279,0.0,0.0
2020-06-18 00:00:00+05:30,2474.328125,2489.7562485662133,2324.5039506427956,2326.4630774448547,12738268,0.0,0.0
2020-06-19 00:00:00+05:30,2643.449462890625,2659.07344878429,2507.681901767283,2509.6410282530383,18603826,0.0,0.0
2020-06-22 00:00:00+05:30,2782.25390625,2805.077780753897,2672.2488912330023,2684.003651751623,13939326,0.0,0.0
2020-06-23 00:00:00+05:30,2963.669189453125,3045.7076276011003,2775.1032271428535,2840.6849516589587,16186953,0.0,0.0
2020-06-24 00:00:00+05:30,2874.479736328125,3061.135587757468,2851.5090227078367,3061.135587757468,20108807,0.0,0.0
2020-06-25 00:00:00+05:30,2943.9306640625,2983.749816611229,2792.734972803222,2819.2322079411874,15982130,0.0,0.0
2020-06-26 00:00:00+05:30,2844.162109375,2996.288341323008,2813.3548906855767,2980.3214113220038,12572499,0.0,0.0
2020-06-29 00:00:00+05:30,2799.543212890625,2835.2972775230755,2713.390658407883,2776.082716941495,11613999,0.0,0.0
2020-06-30 00:00:00+05:30,2773.14404296875,2876.634822666666,2758.450591663723,2850.529553175225,9703057,0.0,0.0
2020-07-01 00:00:00+05:30,2893.5322265625,2908.029812687507,2748.6548956151883,2773.143980572558,12704896,0.0,0.0
2020-07-02 00:00:00+05:30,2903.67041015625,2954.362809152821,2865.2225519801063,2919.098531589989,11619734,0.0,0.0
2020-07-03 00:00:00+05:30,2871.58984375,2928.3554897438476,2861.3044289932627,2919.098664293024,8543597,0.0,0.0
2020-07-06 00:00:00+05:30,3045.2666015625,3070.588170762838,2894.609709945581,2909.3031602498736,11437583,0.0,0.0
2020-07-07 00:00:00+05:30,3283.447265625,3349.76365542686,3061.429331901204,3085.6244983916854,22876401,0.0,0.0
2020-07-08 00:00:00+05:30,3142.48828125,3339.1356255429555,3115.109533199853,3283.4473529307675,19126183,0.0,0.0
2020-07-09 00:00:00+05:30,3261.946044921875,3310.8261617663743,3129.803041044835,3168.8875241208,18757786,0.0,0.0
2020-07-10 00:00:00+05:30,3246.419677734375,3325.6174677294434,3205.180205498613,3208.069869459183,16150413,0.0,0.0
2020-07-13 00:00:00+05:30,3168.49560546875,3308.9648896717786,3150.471496918835,3291.3327499399575,13136467,0.0,0.0
2020-07-14 00:00:00+05:30,3125.737548828125,3153.9980464577984,3058.539648121738,3153.9980464577984,12404422,0.0,0.0
2020-07-15 00:00:00+05:30,3084.8896484375,3230.30576899991,3058.441439972687,3163.9893830128203,10980262,0.0,0.0
2020-07-16 00:00:00+05:30,3139.3046875,3149.296185889376,3038.8994436263883,3115.0114684691184,9999925,0.0,0.0
2020-07-17 00:00:00+05:30,3233.8330078125,3255.0894877839096,3139.50099559056,3144.39881305638,8425626,0.0,0.0
2020-07-20 00:00:00+05:30,3371.167236328125,3383.362752087099,3248.7218187657204,3276.590347972682,10555495,0.0,0.0
2020-07-21 00:00:00+05:30,3225.1630859375,3447.572977355937,3152.8712677623635,3428.471493321716,25960048,0.0,0.0
2020-07-22 00:00:00+05:30,3186.519775390625,3271.7417921317824,3128.3338044485313,3252.1505239154244,17069659,0.0,0.0
2020-07-23 00:00:00+05:30,3230.404052734375,3252.1503112019295,3150.3247491377615,3186.5195669698423,8718035,0.0,0.0
2020-07-24 00:00:00+05:30,3185.39306640625,3222.763311270072,3154.1938791153893,3178.6829620277763,6637683,0.0,0.0
2020-07-27 00:00:00+05:30,3106.342041015625,3212.96760112187,3087.779364443041,3196.3150251404454,7089867,0.0,0.0
2020-07-28 00:00:00+05:30,3173.393798828125,3193.376797236228,3096.5958820541605,3110.11390528375,8211697,0.0,0.0
2020-07-29 00:00:00+05:30,3217.130859375,3260.966318294702,3173.3934524485608,3178.6829987582782,8070022,0.0,0.0
2020-07-30 00:00:00+05:30,3152.528564453125,3256.068355732677,3139.549350941254,3228.052750152238,6508278,0.0,0.0
2020-07-31 00:00:00+05:30,3184.854248046875,3206.110724113138,3116.235790126771,3169.8668815246306,7235397,0.0,0.0
2020-08-03 00:00:00+05:30,3109.6240234375,3177.7036799594425,3104.236424719936,3177.7036799594425,4463920,0.0,0.0
2020-08-04 00:00:00+05:30,3169.4755859375,3193.3768383925835,3078.6210761948887,3136.5621584457213,6679145,0.0,0.0
