Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-07 00:00:00+05:30,196.0,211.0,194.8000030517578,209.6300048828125,64932920,0.0,0.0
2025-04-08 00:00:00+05:30,213.19000244140625,219.19000244140625,210.80999755859375,215.19000244140625,62002510,0.0,0.0
2025-04-09 00:00:00+05:30,216.0,216.0,209.86000061035156,211.38999938964844,253599310,0.0,0.0
2025-04-11 00:00:00+05:30,216.0,218.30999755859375,214.10000610351562,217.1999969482422,28917540,0.0,0.0
2025-04-15 00:00:00+05:30,224.25,224.25,220.10000610351562,222.22999572753906,45034490,0.0,0.0
2025-04-16 00:00:00+05:30,220.50999450683594,222.63999938964844,218.39999389648438,222.0800018310547,26155870,0.0,0.0
2025-04-17 00:00:00+05:30,220.60000610351562,236.13999938964844,220.3800048828125,231.60000610351562,70125930,0.0,0.0
2025-04-21 00:00:00+05:30,229.0,235.3000030517578,227.10000610351562,234.24000549316406,66028530,0.0,0.0
2025-04-22 00:00:00+05:30,236.0,243.4499969482422,235.0,237.47000122070312,59667380,0.0,0.0
2025-04-23 00:00:00+05:30,237.47999572753906,240.25,233.0500030517578,239.24000549316406,42294680,0.0,0.0
2025-04-24 00:00:00+05:30,237.0,241.3699951171875,235.0,236.3800048828125,46103360,0.0,0.0
2025-04-25 00:00:00+05:30,235.89999389648438,239.0,227.30999755859375,228.80999755859375,32437650,0.0,0.0
2025-04-28 00:00:00+05:30,226.0,231.99000549316406,225.05999755859375,227.2100067138672,29327020,0.0,0.0
2025-04-29 00:00:00+05:30,228.3699951171875,234.24000549316406,226.60000610351562,231.11000061035156,32761970,0.0,0.0
2025-04-30 00:00:00+05:30,232.0,234.75,226.10000610351562,232.52000427246094,45831740,0.0,0.0
2025-05-02 00:00:00+05:30,220.0500030517578,239.5,220.0500030517578,234.2899932861328,104910300,0.0,0.0
2025-05-05 00:00:00+05:30,234.5,240.97000122070312,232.92999267578125,239.89999389648438,37948110,0.0,0.0
2025-05-06 00:00:00+05:30,240.0,241.5,231.85000610351562,232.63999938964844,25327710,0.0,0.0
2025-05-07 00:00:00+05:30,228.60000610351562,237.6699981689453,228.60000610351562,236.89999389648438,31614850,0.0,0.0
2025-05-08 00:00:00+05:30,235.25,236.4499969482422,226.60000610351562,229.80999755859375,49888440,0.0,0.0
2025-05-09 00:00:00+05:30,222.0,229.0,222.0,227.13999938964844,24415320,0.0,0.0
2025-05-12 00:00:00+05:30,232.0,240.0,232.0,239.5,31757000,0.0,0.0
2025-05-13 00:00:00+05:30,238.0,239.47000122070312,231.0500030517578,231.64999389648438,44837480,0.0,0.0
2025-05-14 00:00:00+05:30,232.0,237.44000244140625,232.0,236.86000061035156,23158210,0.0,0.0
2025-05-15 00:00:00+05:30,236.1999969482422,236.77000427246094,233.75,235.33999633789062,5703359,0.0,0.0
