timestamp,open,high,low,close,volume
2025-05-07,430.05,435.0,429.6,430.65,960440
2025-05-06,437.05,439.85,432.2,435.65,969570
2025-05-05,430.2,438.45,429.35,437.1,538748
2025-05-02,425.25,431.4,424.05,430.15,248353
2025-04-30,427.0,428.9,423.25,425.3,153088
2025-04-29,428.8,429.9,425.0,425.9,704752
2025-04-28,424.7,430.85,424.7,428.8,554624
2025-04-25,430.1,432.5,423.35,428.15,706122
2025-04-24,430.95,435.8,429.4,430.1,387524
2025-04-23,435.35,436.5,428.7,430.75,630529
2025-04-22,426.0,434.9,424.0,433.7,609324
2025-04-21,429.85,429.85,421.4,422.8,688209
2025-04-17,424.15,427.75,421.7,427.25,516159
2025-04-16,419.85,425.85,418.55,424.15,568491
2025-04-15,423.85,429.0,418.9,420.3,622957
2025-04-11,420.95,422.65,417.2,421.8,366637
2025-04-09,413.1,418.95,411.6,416.15,526939
2025-04-08,411.6,415.65,407.25,412.55,1099399
2025-04-07,394.95,407.85,392.0,406.05,1025987
2025-04-04,408.3,412.85,404.5,409.55,196517
2025-04-03,407.75,410.15,406.35,409.3,97589
2025-04-02,407.0,409.85,406.15,408.95,438196
2025-04-01,411.05,414.3,405.5,406.65,910620
2025-03-28,410.45,415.6,408.2,409.8,852982
2025-03-27,407.55,410.5,405.7,409.4,789925
2025-03-26,410.0,411.05,406.15,407.05,748760
2025-03-25,413.95,415.15,408.7,409.9,921904
2025-03-24,406.0,412.8,405.7,410.95,1164303
2025-03-21,406.0,407.4,401.75,405.8,522099
2025-03-20,405.75,406.5,402.0,403.7,2721390
2025-03-19,410.7,410.7,402.45,403.05,2650156
2025-03-18,410.95,412.25,407.95,409.4,410113
2025-03-17,413.1,416.2,407.1,407.8,148828
2025-03-13,414.95,414.95,408.2,411.85,399896
2025-03-12,406.3,413.05,404.1,412.1,284496
2025-03-11,402.0,408.25,401.1,406.1,399281
2025-03-10,403.75,406.85,400.6,405.05,248851
2025-03-07,405.65,405.7,401.8,403.8,427101
2025-03-06,409.75,409.75,400.6,405.75,621313
2025-03-05,394.8,412.6,394.65,405.35,650331
2025-03-04,396.95,397.3,393.0,394.85,462396
2025-03-03,395.05,399.0,391.5,397.55,354089
2025-02-28,399.8,402.4,392.35,394.7,267902
2025-02-27,405.0,406.4,399.45,401.45,488193
2025-02-25,402.85,406.8,400.55,404.85,793488
2025-02-24,400.0,403.45,398.6,401.85,528020
2025-02-21,402.1,403.4,399.45,401.0,457639
2025-02-20,402.0,404.0,396.3,402.2,791621
2025-02-19,407.8,408.85,404.5,406.5,170273
2025-02-18,410.95,410.95,404.0,405.2,352879
2025-02-17,408.55,411.25,406.65,408.5,579318
2025-02-14,412.0,416.0,408.45,410.55,583071
2025-02-13,409.9,413.8,409.05,409.8,495437
2025-02-12,413.4,413.6,407.65,409.5,1028064
2025-02-11,428.05,430.35,417.5,418.45,909665
2025-02-10,427.0,433.25,426.6,427.3,541878
2025-02-07,441.95,445.3,428.5,430.9,978539
2025-02-06,450.1,450.1,438.25,441.4,857446
2025-02-05,451.4,455.9,446.5,448.25,436026
2025-02-04,458.05,459.9,448.85,455.5,538486
2025-02-03,462.95,465.2,452.35,454.15,696173
